,101st,13th,AARB,ASIM,AALS,AASG,AF,1st,AFB,ANF,ASL,ATB,ADF,AASB,AADF,FKUG,ARC,Hazm,ISIL,JAI,JMA,JAM,JAA,LF,MSC,NADAZM,YPG,SAS,SRF,SF
101st,NA,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1
13th,1,NA,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1
AARB,0,0,NA,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
ASIM,0,0,1,NA,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
AALS,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASG,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,0,0,1,1,0,0,NA,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
1st,1,1,0,0,0,0,0,NA,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1
AFB,1,1,1,1,0,0,1,1,NA,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1
ANF,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASL,1,1,1,1,0,0,1,1,1,0,NA,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1
ATB,0,0,1,1,0,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
ADF,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASB,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADF,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
FKUG,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,1,0,0,0,0,1,0,0,0,1,1,0,0,1
ARC,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,1,1,0,0,1
Hazm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
ISIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
JAI,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,0,0,1,1
JMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
JAM,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,NA,0,1,0,1,0,0,1,1
JAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
LF,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,0,1,0,0,0,0
MSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
NADAZM,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,NA,1,0,1,1
YPG,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,NA,0,0,1
SAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
SRF,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,NA,1
SF,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,NA
